Date,Transaction ID,Account ID,Direction,Bank Amount,Net Withdrawal Effect,Cumulative Net Withdrawals,Category,Expense Group,Description
2025-01-02,Chase6611_Activity_20260220.CSV:1104,Chase6611_Activity_20260220,Business -> ...0273,-600.00,600.00,600.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23255674395 01/02
2025-01-06,Chase6611_Activity_20260220.CSV:1098,Chase6611_Activity_20260220,Business -> ...0273,-500.00,500.00,1100.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23289188041 01/06
2025-01-10,Chase6611_Activity_20260220.CSV:1092,Chase6611_Activity_20260220,Business -> ...0273,-300.00,300.00,1400.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23350422417 01/10
2025-01-10,Chase6611_Activity_20260220.CSV:1096,Chase6611_Activity_20260220,...0273 -> Business,1200.00,-1200.00,200.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23340585427
2025-01-17,Chase6611_Activity_20260220.CSV:1084,Chase6611_Activity_20260220,Business -> ...0273,-150.00,150.00,350.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23417994159 01/17
2025-01-21,Chase6611_Activity_20260220.CSV:1083,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,250.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23449335998
2025-01-23,Chase6611_Activity_20260220.CSV:1079,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,150.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23474282782
2025-01-24,Chase6611_Activity_20260220.CSV:1078,Chase6611_Activity_20260220,...0273 -> Business,1900.00,-1900.00,-1750.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23485639163
2025-01-27,Chase6611_Activity_20260220.CSV:1074,Chase6611_Activity_20260220,Business -> ...0273,-15000.00,15000.00,13250.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23517169705 01/27
2025-01-27,Chase6611_Activity_20260220.CSV:1075,Chase6611_Activity_20260220,Business -> ...0273,-2000.00,2000.00,15250.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23516426271 01/27
2025-01-28,Chase6611_Activity_20260220.CSV:1072,Chase6611_Activity_20260220,...0273 -> Business,3200.00,-3200.00,12050.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23526080863
2025-01-28,Chase6611_Activity_20260220.CSV:1073,Chase6611_Activity_20260220,...0273 -> Business,8000.00,-8000.00,4050.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23526093549
2025-01-31,Chase6611_Activity_20260220.CSV:1056,Chase6611_Activity_20260220,Business -> ...0273,-60.00,60.00,4110.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23565301881 01/31
2025-01-31,Chase6611_Activity_20260220.CSV:1057,Chase6611_Activity_20260220,Business -> ...0273,-200.00,200.00,4310.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23556495065 01/31
2025-01-31,Chase6611_Activity_20260220.CSV:1058,Chase6611_Activity_20260220,Business -> ...0273,-500.00,500.00,4810.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23556474205 01/31
2025-02-03,Chase6611_Activity_20260220.CSV:1053,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,4710.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23602063385
2025-02-03,Chase6611_Activity_20260220.CSV:1054,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,4610.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23599343222
2025-02-06,Chase6611_Activity_20260220.CSV:1049,Chase6611_Activity_20260220,Business -> ...0273,-80.00,80.00,4690.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23639252381 02/06
2025-02-07,Chase6611_Activity_20260220.CSV:1045,Chase6611_Activity_20260220,Business -> ...0273,-80.00,80.00,4770.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23654447749 02/07
2025-02-07,Chase6611_Activity_20260220.CSV:1046,Chase6611_Activity_20260220,Business -> ...0273,-100.00,100.00,4870.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23650986177 02/07
2025-02-07,Chase6611_Activity_20260220.CSV:1048,Chase6611_Activity_20260220,...0273 -> Business,2100.00,-2100.00,2770.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23645957199
2025-02-10,Chase6611_Activity_20260220.CSV:1044,Chase6611_Activity_20260220,...0273 -> Business,20.00,-20.00,2750.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23677977332
2025-02-14,Chase6611_Activity_20260220.CSV:1042,Chase6611_Activity_20260220,...0273 -> Business,400.00,-400.00,2350.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23723315998
2025-02-19,Chase6611_Activity_20260220.CSV:1038,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,2250.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23774962093
2025-02-19,Chase6611_Activity_20260220.CSV:1039,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,2150.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23774861149
2025-02-20,Chase6611_Activity_20260220.CSV:1035,Chase6611_Activity_20260220,Business -> ...0273,-50.00,50.00,2200.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23788094204 02/20
2025-02-21,Chase6611_Activity_20260220.CSV:1030,Chase6611_Activity_20260220,Business -> ...0273,-80.00,80.00,2280.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23802377251 02/21
2025-02-21,Chase6611_Activity_20260220.CSV:1033,Chase6611_Activity_20260220,...0273 -> Business,20.00,-20.00,2260.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23797564335
2025-02-21,Chase6611_Activity_20260220.CSV:1034,Chase6611_Activity_20260220,...0273 -> Business,2025.00,-2025.00,235.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23797830348
2025-02-26,Chase6611_Activity_20260220.CSV:1025,Chase6611_Activity_20260220,Business -> ...0273,-4000.00,4000.00,4235.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23856768816 02/26
2025-02-26,Chase6611_Activity_20260220.CSV:1028,Chase6611_Activity_20260220,Business -> ...0273,-500.00,500.00,4735.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23853578929 02/26
2025-02-27,Chase6611_Activity_20260220.CSV:1022,Chase6611_Activity_20260220,Business -> ...0273,-1000.00,1000.00,5735.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23869680768 02/27
2025-02-28,Chase6611_Activity_20260220.CSV:1020,Chase6611_Activity_20260220,Business -> ...0273,-1000.00,1000.00,6735.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23875395911 02/28
2025-03-03,Chase6611_Activity_20260220.CSV:1013,Chase6611_Activity_20260220,Business -> ...0273,-1000.00,1000.00,7735.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23927276026 03/03
2025-03-03,Chase6611_Activity_20260220.CSV:1015,Chase6611_Activity_20260220,Business -> ...0273,-500.00,500.00,8235.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23916099408 03/03
2025-03-05,Chase6611_Activity_20260220.CSV:1012,Chase6611_Activity_20260220,Business -> ...0273,-1000.00,1000.00,9235.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23951369842 03/05
2025-03-06,Chase6611_Activity_20260220.CSV:1010,Chase6611_Activity_20260220,Business -> ...0273,-800.00,800.00,10035.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23962564681 03/06
2025-03-06,Chase6611_Activity_20260220.CSV:1011,Chase6611_Activity_20260220,Business -> ...0273,-1000.00,1000.00,11035.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23959660704 03/06
2025-03-07,Chase6611_Activity_20260220.CSV:1005,Chase6611_Activity_20260220,Business -> ...0273,-200.00,200.00,11235.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23982810218 03/07
2025-03-07,Chase6611_Activity_20260220.CSV:1006,Chase6611_Activity_20260220,Business -> ...0273,-300.00,300.00,11535.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 23982581463 03/07
2025-03-07,Chase6611_Activity_20260220.CSV:1008,Chase6611_Activity_20260220,...0273 -> Business,400.00,-400.00,11135.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23971335017
2025-03-07,Chase6611_Activity_20260220.CSV:1009,Chase6611_Activity_20260220,...0273 -> Business,1900.00,-1900.00,9235.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23968952308
2025-03-10,Chase6611_Activity_20260220.CSV:1004,Chase6611_Activity_20260220,...0273 -> Business,200.00,-200.00,9035.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 23998581871
2025-03-13,Chase6611_Activity_20260220.CSV:1002,Chase6611_Activity_20260220,...0273 -> Business,800.00,-800.00,8235.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24040302958
2025-03-18,Chase6611_Activity_20260220.CSV:993,Chase6611_Activity_20260220,Business -> ...0273,-100.00,100.00,8335.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24094272496 03/18
2025-03-19,Chase6611_Activity_20260220.CSV:992,Chase6611_Activity_20260220,Business -> ...0273,-300.00,300.00,8635.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24104429905 03/19
2025-03-20,Chase6611_Activity_20260220.CSV:989,Chase6611_Activity_20260220,Business -> ...0273,-12000.00,12000.00,20635.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24115101823 03/20
2025-03-21,Chase6611_Activity_20260220.CSV:988,Chase6611_Activity_20260220,...0273 -> Business,3000.00,-3000.00,17635.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24137068789
2025-03-25,Chase6611_Activity_20260220.CSV:981,Chase6611_Activity_20260220,...0273 -> Business,650.00,-650.00,16985.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24172912231
2025-03-26,Chase6611_Activity_20260220.CSV:979,Chase6611_Activity_20260220,Business -> ...0273,-500.00,500.00,17485.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24185086881 03/26
2025-03-27,Chase6611_Activity_20260220.CSV:978,Chase6611_Activity_20260220,...0273 -> Business,700.00,-700.00,16785.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24191051496
2025-03-28,Chase6611_Activity_20260220.CSV:976,Chase6611_Activity_20260220,...0273 -> Business,1000.00,-1000.00,15785.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24203616101
2025-04-07,Chase6611_Activity_20260220.CSV:968,Chase6611_Activity_20260220,...0273 -> Business,2500.00,-2500.00,13285.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24328930213
2025-04-08,Chase6611_Activity_20260220.CSV:965,Chase6611_Activity_20260220,Business -> ...0273,-200.00,200.00,13485.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24344100110 04/08
2025-04-10,Chase6611_Activity_20260220.CSV:963,Chase6611_Activity_20260220,...0273 -> Business,200.00,-200.00,13285.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24362813711
2025-04-11,Chase6611_Activity_20260220.CSV:962,Chase6611_Activity_20260220,...0273 -> Business,850.00,-850.00,12435.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24374538413
2025-04-15,Chase6611_Activity_20260220.CSV:958,Chase6611_Activity_20260220,Business -> ...0273,-120.00,120.00,12555.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24423874546 04/15
2025-04-15,Chase6611_Activity_20260220.CSV:960,Chase6611_Activity_20260220,...0273 -> Business,200.00,-200.00,12355.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24421241369
2025-04-16,Chase6611_Activity_20260220.CSV:956,Chase6611_Activity_20260220,Business -> ...0273,-50.00,50.00,12405.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24436769426 04/16
2025-04-17,Chase6611_Activity_20260220.CSV:954,Chase6611_Activity_20260220,...0273 -> Business,600.00,-600.00,11805.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24443230075
2025-04-18,Chase6611_Activity_20260220.CSV:947,Chase6611_Activity_20260220,...0273 -> Business,100.00,-100.00,11705.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24455073400
2025-04-18,Chase6611_Activity_20260220.CSV:948,Chase6611_Activity_20260220,...0273 -> Business,2100.00,-2100.00,9605.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24454744276
2025-04-21,Chase6611_Activity_20260220.CSV:942,Chase6611_Activity_20260220,Business -> ...0273,-120.00,120.00,9725.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24490960654 04/21
2025-04-21,Chase6611_Activity_20260220.CSV:944,Chase6611_Activity_20260220,...0273 -> Business,200.00,-200.00,9525.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24486691958
2025-04-22,Chase6611_Activity_20260220.CSV:938,Chase6611_Activity_20260220,Business -> ...0273,-400.00,400.00,9925.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24500766917 04/22
2025-04-22,Chase6611_Activity_20260220.CSV:940,Chase6611_Activity_20260220,...0273 -> Business,200.00,-200.00,9725.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24497800653
2025-04-22,Chase6611_Activity_20260220.CSV:941,Chase6611_Activity_20260220,...0273 -> Business,500.00,-500.00,9225.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24497311793
2025-04-23,Chase6611_Activity_20260220.CSV:931,Chase6611_Activity_20260220,Business -> ...0273,-2000.00,2000.00,11225.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24511716876 04/23
2025-04-23,Chase6611_Activity_20260220.CSV:932,Chase6611_Activity_20260220,Business -> ...0273,-2600.00,2600.00,13825.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24509205021 04/23
2025-04-24,Chase6611_Activity_20260220.CSV:929,Chase6611_Activity_20260220,Business -> ...0273,-1000.00,1000.00,14825.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24521751940 04/24
2025-04-24,Chase6611_Activity_20260220.CSV:930,Chase6611_Activity_20260220,Business -> ...0273,-1000.00,1000.00,15825.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24517892630 04/24
2025-04-25,Chase6611_Activity_20260220.CSV:924,Chase6611_Activity_20260220,Business -> ...0273,-300.00,300.00,16125.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24535696126 04/25
2025-04-25,Chase6611_Activity_20260220.CSV:925,Chase6611_Activity_20260220,Business -> ...0273,-500.00,500.00,16625.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24534457989 04/25
2025-04-25,Chase6611_Activity_20260220.CSV:926,Chase6611_Activity_20260220,Business -> ...0273,-1000.00,1000.00,17625.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24534219893 04/25
2025-04-25,Chase6611_Activity_20260220.CSV:927,Chase6611_Activity_20260220,Business -> ...0273,-200.00,200.00,17825.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24533710232 04/25
2025-04-25,Chase6611_Activity_20260220.CSV:928,Chase6611_Activity_20260220,...0273 -> Business,1600.00,-1600.00,16225.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24529917998
2025-04-28,Chase6611_Activity_20260220.CSV:919,Chase6611_Activity_20260220,Business -> ...0273,-300.00,300.00,16525.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24567545286 04/28
2025-04-28,Chase6611_Activity_20260220.CSV:922,Chase6611_Activity_20260220,...0273 -> Business,300.00,-300.00,16225.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24563444733
2025-04-28,Chase6611_Activity_20260220.CSV:923,Chase6611_Activity_20260220,...0273 -> Business,1500.00,-1500.00,14725.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24563460377
2025-04-29,Chase6611_Activity_20260220.CSV:917,Chase6611_Activity_20260220,...0273 -> Business,250.00,-250.00,14475.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24580025554
2025-04-29,Chase6611_Activity_20260220.CSV:918,Chase6611_Activity_20260220,...0273 -> Business,300.00,-300.00,14175.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24574283233
2025-04-30,Chase6611_Activity_20260220.CSV:915,Chase6611_Activity_20260220,Business -> ...0273,-300.00,300.00,14475.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24587391508 04/30
2025-05-02,Chase6611_Activity_20260220.CSV:912,Chase6611_Activity_20260220,...0273 -> Business,1700.00,-1700.00,12775.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24622776088
2025-05-05,Chase6611_Activity_20260220.CSV:906,Chase6611_Activity_20260220,Business -> ...0273,-100.00,100.00,12875.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24658270302 05/05
2025-05-07,Chase6611_Activity_20260220.CSV:903,Chase6611_Activity_20260220,...0273 -> Business,4000.00,-4000.00,8875.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24679057305
2025-05-08,Chase6611_Activity_20260220.CSV:895,Chase6611_Activity_20260220,Business -> ...0273,-20.00,20.00,8895.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24691867669 05/08
2025-05-09,Chase6611_Activity_20260220.CSV:894,Chase6611_Activity_20260220,...0273 -> Business,2300.00,-2300.00,6595.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24701977765
2025-05-13,Chase6611_Activity_20260220.CSV:891,Chase6611_Activity_20260220,...0273 -> Business,1600.00,-1600.00,4995.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24749801864
2025-05-16,Chase6611_Activity_20260220.CSV:875,Chase6611_Activity_20260220,Business -> ...0273,-25.00,25.00,5020.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24792813755 05/16
2025-05-16,Chase6611_Activity_20260220.CSV:876,Chase6611_Activity_20260220,Business -> ...0273,-30.00,30.00,5050.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24791726412 05/16
2025-05-16,Chase6611_Activity_20260220.CSV:882,Chase6611_Activity_20260220,...0273 -> Business,300.00,-300.00,4750.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24789494983
2025-05-16,Chase6611_Activity_20260220.CSV:883,Chase6611_Activity_20260220,...0273 -> Business,2100.00,-2100.00,2650.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24786890367
2025-05-19,Chase6611_Activity_20260220.CSV:869,Chase6611_Activity_20260220,Business -> ...0273,-200.00,200.00,2850.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24818186375 05/19
2025-05-19,Chase6611_Activity_20260220.CSV:873,Chase6611_Activity_20260220,...0273 -> Business,200.00,-200.00,2650.00,Transfer,Other,Online Transfer from CHK ...0273 transaction#: 24805095775
2025-05-20,Chase6611_Activity_20260220.CSV:867,Chase6611_Activity_20260220,Business -> ...0273,-70.00,70.00,2720.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24828905375 05/20
2025-05-20,Chase6611_Activity_20260220.CSV:868,Chase6611_Activity_20260220,Business -> ...0273,-520.00,520.00,3240.00,Transfer,Other,Online Transfer to CHK ...0273 transaction#: 24828764192 05/20
